admin0name_en,admin0name_ar,admin0pcode,admin1name_en,admin1name_ar,admin1pcode,admin2name_en,admin2name_ar,admin2pcode,admin3name_en,admin3name_ar,admin3pcode,admin4name_en,admin4name_ar,column1,admin4pcode,location_name_en,location_name_ar,location_pcode,location_type,last_update_date,latitude_y,longitude_x,zone,aoc_rosc
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Markada,مركدة,SY080003,Shadid,شديد,Shadid,C7274,Shadid,شديد,C7274,Community,19/12/2018,35.889202,40.884492,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,As-Safira,السفيرة,SY0207,Banan,بنان,SY020702,Jubb as Samiriyah,جب السميرية,Jubb as Samiriyah,C7275,Jubb as Samiriyah,جب السميرية,C7275,Community,19/12/2018,35.907821,37.295705,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,As-Safira,السفيرة,SY0207,Banan,بنان,SY020702,Jubb al Tinah,جب التينة,Jubb al Tinah,C7276,Jubb al Tinah,جب التينة,C7276,Community,19/12/2018,35.912699,37.265813,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,As-Safira,السفيرة,SY0207,Banan,بنان,SY020702,Rasm as Sahrij,رسم الصهريج,Rasm as Sahrij,C7277,Rasm as Sahrij,رسم الصهريج,C7277,Community,19/12/2018,35.923167,37.341868,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Jebel Saman,جبل سمعان,SY0200,Tall Ed-daman,تل الضمان,SY020002,Qurayhah,قريحة,Qurayhah,C7278,Qurayhah,قريحة,C7278,Community,19/12/2018,35.930806,37.149299,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Jebel Saman,جبل سمعان,SY0200,Tall Ed-daman,تل الضمان,SY020002,Ayn Abu Nasrah,عين ابو نصرة,Ayn Abu Nasrah,C7279,Ayn Abu Nasrah,عين ابو نصرة,C7279,Community,19/12/2018,35.93293,37.266494,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Markada,مركدة,SY080003,Bir Al Abed,بئر العبد,Bir Al Abed (Markada),C7280,Bir Al Abed (Markada),بئر العبد - مركدة,C7280,Community,19/12/2018,35.9384,41.218985000000004,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Markada,مركدة,SY080003,Al Outh,العوض,Al Outh,C7281,Al Outh,العوض,C7281,Community,19/12/2018,35.939755,40.992175,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Tashtash,طشطش,Tashtash,C7282,Tashtash,طشطش,C7282,Community,19/12/2018,35.940045,40.737988,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Salah al Hawash,صالح الحواش,Salah al Hawash,C7283,Salah al Hawash,صالح الحواش,C7283,Community,19/12/2018,35.948739,40.484595,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Jelifah,جليفة,Jelifah,C7284,Jelifah,جليفة,C7284,Community,19/12/2018,35.948408,40.867477,0,Syrian democratic forces
