admin0name_en,admin0name_ar,admin0pcode,admin1name_en,admin1name_ar,admin1pcode,admin2name_en,admin2name_ar,admin2pcode,admin3name_en,admin3name_ar,admin3pcode,admin4name_en,admin4name_ar,column1,admin4pcode,location_name_en,location_name_ar,location_pcode,location_type,last_update_date,latitude_y,longitude_x,zone,aoc_rosc
Syrian Arab Republic,الجمهورية العربية السورية,SY,Hama,حماة,SY05,As-Salamiyeh,السلمية,SY0503,Oqeirbat,عقيربات,SY050304,Fakhr,فاخر,Fakhr,C7183,Fakhr,فاخر,C7183,Community,19/12/2018,35.072482,37.546619,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Hama,حماة,SY05,As-Salamiyeh,السلمية,SY0503,Oqeirbat,عقيربات,SY050304,Rasm Elahmar,رسم الاحمر,Rasm Elahmar (Oqeirbat),C7184,Rasm Elahmar (Oqeirbat),رسم الاحمر - عقيربات,C7184,Community,19/12/2018,35.107834,37.419716,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Hama,حماة,SY05,As-Salamiyeh,السلمية,SY0503,Oqeirbat,عقيربات,SY050304,Bir Ala'war,بئر الاعور,Bir Ala'war,C7185,Bir Ala'war,بئر الاعور,C7185,Community,19/12/2018,35.127828,37.951676,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Hama,حماة,SY05,As-Salamiyeh,السلمية,SY0503,Saboura,صبورة,SY050303,Dahr al Gharbi,ضهر الغربي,Dahr al Gharbi,C7186,Dahr al Gharbi,ضهر الغربي,C7186,Community,19/12/2018,35.134436,37.261109,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Hama,حماة,SY05,As-Salamiyeh,السلمية,SY0503,Oqeirbat,عقيربات,SY050304,Sulaytiyah,سليطية,Sulaytiyah,C7187,Sulaytiyah,سليطية,C7187,Community,19/12/2018,35.142687,37.395217,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Hama,حماة,SY05,As-Salamiyeh,السلمية,SY0503,Saboura,صبورة,SY050303,As Salihiyah,الصالحية السلمية,As Salihiyah,C7188,As Salihiyah,الصالحية السلمية,C7188,Community,19/12/2018,35.142829,37.166565,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Hama,حماة,SY05,As-Salamiyeh,السلمية,SY0503,Saboura,صبورة,SY050303,Al Hardaneh,الحردانة,Al Hardaneh,C7189,Al Hardaneh,الحردانة - صبورة,C7189,Community,19/12/2018,35.159002,37.293673,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Hama,حماة,SY05,As-Salamiyeh,السلمية,SY0503,Saboura,صبورة,SY050303,Qour Alsiyada,قور الصيادة,Qour Alsiyada,C7190,Qour Alsiyada,قور الصيادة,C7190,Community,19/12/2018,35.182192,37.235594,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Hama,حماة,SY05,Hama,مركز حماة,SY0501,Hama,مركز حماة,SY050100,Zawr al Balah,زور البالا,Zawr al Balah,C7191,Zawr al Balah,زور البالا,C7191,Community,19/12/2018,35.186186,36.698466,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Hama,حماة,SY05,Hama,مركز حماة,SY0501,Suran,صوران,SY050101,Kfair al Taiba,كفير الطيبة,Kfair al Taiba,C7192,Kfair al Taiba,كفير الطيبة,C7192,Community,19/12/2018,35.25017,36.672324,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Hama,حماة,SY05,Hama,مركز حماة,SY0501,Hamra,الحمراء,SY050103,Kharsan,خرسان,Kharsan,C7194,Kharsan,خرسان,C7194,Community,19/12/2018,35.29736,37.057395,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Hama,حماة,SY05,As-Suqaylabiyah,السقيلبية,SY0502,Madiq Castle,قلعة المضيق,SY050204,Koura,كورة,Koura,C7195,Koura,كورة,C7195,Community,19/12/2018,35.485651,36.443733,0,Government and allied forces
